sku,bin_location,type,store,name,description,short_description,price,qty,weight,is_in_stock,manage_stock,use_config_manage_stock,model_size_desc,status,visibility,brand,categories,pack,fabric,made,source,source_sku,tax_class_id,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,media_gallery,auctioninc_product_length,auctioninc_product_width,auctioninc_product_height,auctioninc_calc_method,attribute_set,configurable_attributes,leggingspacksize,leggingspackqty,prod_url,leggingscolor
"WL#1017#Just as picture",,simple,default,"Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric Just as picture","Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric","Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric",10.25,100,0,1,1,1,,1,"""Not Visible Individually""",,plus-size/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,AMP1413,None,1017_wl_amp1413_black_l_0.jpg,1017_wl_amp1413_black_l_0.jpg,1017_wl_amp1413_black_l_0.jpg,"Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric","Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric","Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric",1017_wl_amp1413_black_l_0.jpg;1017_wl_amp1413_black_d_0.jpg;1017_wl_amp1413_black_d_1.jpg;1017_wl_amp1413_black_d_2.jpg;,0,0,0,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-scuba-pants-contrast-duo-fabric.html,"Just as picture"
WL#1017,,configurable,default,"Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric","Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric","Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric",61.5,100,0,1,1,1,,1,"""Catalog, Search""",,plus-size/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,AMP1413,None,1017_wl_amp1413_black_l_0.jpg,1017_wl_amp1413_black_l_0.jpg,1017_wl_amp1413_black_l_0.jpg,"Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric","Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric","Wholesale Womens Plus Size Scuba Pants Contrast Duo Fabric",1017_wl_amp1413_black_l_0.jpg;1017_wl_amp1413_black_d_0.jpg;1017_wl_amp1413_black_d_1.jpg;1017_wl_amp1413_black_d_2.jpg;,0,0,0,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-scuba-pants-contrast-duo-fabric.html,
WL#1018#Gray,,simple,default,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit Gray","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",10.75,100,0,1,1,1,,1,"""Not Visible Individually""",,plus-size/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK14FT001,None,1018_wl_xtrk14ft001_navy_l_0.jpg,1018_wl_xtrk14ft001_navy_l_0.jpg,1018_wl_xtrk14ft001_navy_l_0.jpg,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",1018_wl_xtrk14ft001_navy_l_0.jpg;1018_wl_xtrk14ft001chl_gray_d_0.jpg;1018_wl_xtrk14ft001chl_gray_l_0.jpg;1018_wl_xtrk14ft001chl_gray_d_1.jpg;1018_wl_xtrk14ft001chl_gray_d_2.jpg;1018_wl_xtrk14ft001_navy_d_1.jpg;1018_wl_xtrk14ft001_navy_d_0.jpg;1018_wl_xtrk14ft001_navy_d_2.jpg;1018_wl_xtrk14ft001bur_color_l_0.jpg;,0,0,0,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-french-terry-track-pants-peppered-knit.html,Gray
WL#1018#Black,,simple,default,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit Black","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",10.75,100,0,1,1,1,,1,"""Not Visible Individually""",,plus-size/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK14FT001,None,1018_wl_xtrk14ft001_navy_l_0.jpg,1018_wl_xtrk14ft001_navy_l_0.jpg,1018_wl_xtrk14ft001_navy_l_0.jpg,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",1018_wl_xtrk14ft001_navy_l_0.jpg;1018_wl_xtrk14ft001chl_gray_d_0.jpg;1018_wl_xtrk14ft001chl_gray_l_0.jpg;1018_wl_xtrk14ft001chl_gray_d_1.jpg;1018_wl_xtrk14ft001chl_gray_d_2.jpg;1018_wl_xtrk14ft001_navy_d_1.jpg;1018_wl_xtrk14ft001_navy_d_0.jpg;1018_wl_xtrk14ft001_navy_d_2.jpg;1018_wl_xtrk14ft001bur_color_l_0.jpg;,0,0,0,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-french-terry-track-pants-peppered-knit.html,Black
WL#1018#Navy,,simple,default,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit Navy","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",10.75,100,0,1,1,1,,1,"""Not Visible Individually""",,plus-size/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK14FT001,None,1018_wl_xtrk14ft001_navy_l_0.jpg,1018_wl_xtrk14ft001_navy_l_0.jpg,1018_wl_xtrk14ft001_navy_l_0.jpg,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",1018_wl_xtrk14ft001_navy_l_0.jpg;1018_wl_xtrk14ft001chl_gray_d_0.jpg;1018_wl_xtrk14ft001chl_gray_l_0.jpg;1018_wl_xtrk14ft001chl_gray_d_1.jpg;1018_wl_xtrk14ft001chl_gray_d_2.jpg;1018_wl_xtrk14ft001_navy_d_1.jpg;1018_wl_xtrk14ft001_navy_d_0.jpg;1018_wl_xtrk14ft001_navy_d_2.jpg;1018_wl_xtrk14ft001bur_color_l_0.jpg;,0,0,0,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-french-terry-track-pants-peppered-knit.html,Navy
WL#1018#Burgundy,,simple,default,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit Burgundy","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",10.75,100,0,1,1,1,,1,"""Not Visible Individually""",,plus-size/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK14FT001,None,1018_wl_xtrk14ft001_navy_l_0.jpg,1018_wl_xtrk14ft001_navy_l_0.jpg,1018_wl_xtrk14ft001_navy_l_0.jpg,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",1018_wl_xtrk14ft001_navy_l_0.jpg;1018_wl_xtrk14ft001chl_gray_d_0.jpg;1018_wl_xtrk14ft001chl_gray_l_0.jpg;1018_wl_xtrk14ft001chl_gray_d_1.jpg;1018_wl_xtrk14ft001chl_gray_d_2.jpg;1018_wl_xtrk14ft001_navy_d_1.jpg;1018_wl_xtrk14ft001_navy_d_0.jpg;1018_wl_xtrk14ft001_navy_d_2.jpg;1018_wl_xtrk14ft001bur_color_l_0.jpg;,0,0,0,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-french-terry-track-pants-peppered-knit.html,Burgundy
WL#1018,,configurable,default,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",64.5,100,0,1,1,1,,1,"""Catalog, Search""",,plus-size/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK14FT001,None,1018_wl_xtrk14ft001_navy_l_0.jpg,1018_wl_xtrk14ft001_navy_l_0.jpg,1018_wl_xtrk14ft001_navy_l_0.jpg,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",1018_wl_xtrk14ft001_navy_l_0.jpg;1018_wl_xtrk14ft001chl_gray_d_0.jpg;1018_wl_xtrk14ft001chl_gray_l_0.jpg;1018_wl_xtrk14ft001chl_gray_d_1.jpg;1018_wl_xtrk14ft001chl_gray_d_2.jpg;1018_wl_xtrk14ft001_navy_d_1.jpg;1018_wl_xtrk14ft001_navy_d_0.jpg;1018_wl_xtrk14ft001_navy_d_2.jpg;1018_wl_xtrk14ft001bur_color_l_0.jpg;,0,0,0,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-french-terry-track-pants-peppered-knit.html,
WL#1019#Black,,simple,default,"Wholesale Womens Plus Size Pants Duo Fabric Black","Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric",10.25,100,0,1,1,1,,1,"""Not Visible Individually""",,plus-size/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,AMP1414,None,1019_wl_amp1414_black_d_0.jpg,1019_wl_amp1414_black_d_0.jpg,1019_wl_amp1414_black_d_0.jpg,"Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric",1019_wl_amp1414_black_d_0.jpg;1019_wl_amp1414_color_l_0.jpg;1019_wl_amp1414_color_d_1.jpg;1019_wl_amp1414_black_d_2.jpg;,0,0,0,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-pants-duo-fabric.html,Black
WL#1019,,configurable,default,"Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric",61.5,100,0,1,1,1,,1,"""Catalog, Search""",,plus-size/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,AMP1414,None,1019_wl_amp1414_black_d_0.jpg,1019_wl_amp1414_black_d_0.jpg,1019_wl_amp1414_black_d_0.jpg,"Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric",1019_wl_amp1414_black_d_0.jpg;1019_wl_amp1414_color_l_0.jpg;1019_wl_amp1414_color_d_1.jpg;1019_wl_amp1414_black_d_2.jpg;,0,0,0,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-pants-duo-fabric.html,
"WL#1020#Just as picture",,simple,default,"Wholesale Womens Plus Size Treggings Duo Fabric Just as picture","Wholesale Womens Plus Size Treggings Duo Fabric","Wholesale Womens Plus Size Treggings Duo Fabric",10.25,100,0,1,1,1,,1,"""Not Visible Individually""",,plus-size/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,XTRG14PT002,None,1020_wl_xtrg14pt002_blkwht_l_0.jpg,1020_wl_xtrg14pt002_blkwht_l_0.jpg,1020_wl_xtrg14pt002_blkwht_l_0.jpg,"Wholesale Womens Plus Size Treggings Duo Fabric","Wholesale Womens Plus Size Treggings Duo Fabric","Wholesale Womens Plus Size Treggings Duo Fabric",1020_wl_xtrg14pt002_blkwht_l_0.jpg;1020_wl_xtrg14pt002_blkwht_d_0.jpg;1020_wl_xtrg14pt002_blkwht_d_1.jpg;1020_wl_xtrg14pt002_blkwht_d_2.jpg;,0,0,0,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-womens-plus-size-treggings-duo-fabric.html,"Just as picture"
