sku,bin_location,type,store,name,price,weight,is_in_stock,manage_stock,use_config_manage_stock,model_size_desc,status,visibility,brand,categories,pack,fabric,made,source,source_sku,tax_class_id,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,media_gallery,auctioninc_product_length,auctioninc_product_width,auctioninc_product_height,auctioninc_calc_method,attribute_set,configurable_attributes,leggingspacksize,leggingspackqty,prod_url,leggingscolor
WL#100654,,configurable,default,"PLUSSIZE Printed",55.00,3,0,1,1,"Not Available",1,"""Catalog, Search""",,plus-size,"Not Available","Not Specified",Imported,lashowroom,,None,100654_wl_WAY150729SL53_PAISLEY_800_0.jpg,100654_wl_WAY150729SL53_PAISLEY_800_0.jpg,100654_wl_WAY150729SL53_PAISLEY_800_0.jpg,"Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.",100654_wl_WAY150729SL53_PAISLEY_800_0.jpg;100654_wl_WAY150729SL53_PAISLEY_800_0.jpg;100654_wl_WAY150729SL53_PAISLEY_800D_0.jpg;100654_wl_WAY150729SL53_PAISLEY_800D_1.jpg;100654_wl_WAY150729SL53_PAISLEY_800D_3.jpg;,14,10,3,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1348,
WL#100655,,configurable,default,"PLUSSIZE Printed",55.00,3,0,1,1,"Not Available",1,"""Catalog, Search""",,plus-size,"Not Available","Not Specified",Imported,lashowroom,,None,100655_wl_WAY150729SL52_MULTI_800_0.jpg,100655_wl_WAY150729SL52_MULTI_800_0.jpg,100655_wl_WAY150729SL52_MULTI_800_0.jpg,"Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.",100655_wl_WAY150729SL52_MULTI_800_0.jpg;100655_wl_WAY150729SL52_MULTI_800_0.jpg;100655_wl_WAY150729SL52_MULTI_800D_0.jpg;100655_wl_WAY150729SL52_MULTI_800D_1.jpg;100655_wl_WAY150729SL52_MULTI_800D_3.jpg;,14,10,3,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1347,
WL#100656,,configurable,default,"PLUSSIZE Printed",55.00,3,0,1,1,"Not Available",1,"""Catalog, Search""",,plus-size,"Not Available","Not Specified",Imported,lashowroom,,None,100656_wl_WAY150729SL51_GRAY_800_0.jpg,100656_wl_WAY150729SL51_GRAY_800_0.jpg,100656_wl_WAY150729SL51_GRAY_800_0.jpg,"Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.",100656_wl_WAY150729SL51_GRAY_800_0.jpg;100656_wl_WAY150729SL51_GRAY_800_0.jpg;100656_wl_WAY150729SL51_GRAY_800D_0.jpg;100656_wl_WAY150729SL51_GRAY_800D_1.jpg;100656_wl_WAY150729SL51_GRAY_800D_3.jpg;,14,10,3,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1346,
WL#100657,,configurable,default,"LEGGINGS Printed",45.00,2,0,1,1,"Not Available",1,"""Catalog, Search""",,leggings/printed,"Not Available","Not Specified",Imported,lashowroom,,None,100657_wl_WAY150729IJ03_MULTI_800D_1.jpg,100657_wl_WAY150729IJ03_MULTI_800D_1.jpg,100657_wl_WAY150729IJ03_MULTI_800D_1.jpg,"Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.",100657_wl_WAY150729IJ03_MULTI_800D_1.jpg;100657_wl_WAY150729IJ03_MULTI_800_0.jpg;100657_wl_WAY150729IJ03_MULTI_800D_0.jpg;100657_wl_WAY150729IJ03_MULTI_800D_1.jpg;100657_wl_WAY150729IJ03_MULTI_800D_3.jpg;,13,10,3,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1343,
WL#100658,,configurable,default,"LEGGINGS Printed",45.00,2,0,1,1,"Not Available",1,"""Catalog, Search""",,leggings/printed,"Not Available","Not Specified",Imported,lashowroom,,None,100658_wl_WAY150729IJ02_MULTI_800D_1.jpg,100658_wl_WAY150729IJ02_MULTI_800D_1.jpg,100658_wl_WAY150729IJ02_MULTI_800D_1.jpg,"Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.",100658_wl_WAY150729IJ02_MULTI_800D_1.jpg;100658_wl_WAY150729IJ02_MULTI_800_0.jpg;100658_wl_WAY150729IJ02_MULTI_800D_0.jpg;100658_wl_WAY150729IJ02_MULTI_800D_1.jpg;100658_wl_WAY150729IJ02_MULTI_800D_3.jpg;,13,10,3,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1342,
WL#100659,,configurable,default,"LEGGINGS Printed",45.00,2,0,1,1,"Not Available",1,"""Catalog, Search""",,leggings/printed,"Not Available","Not Specified",Imported,lashowroom,,None,100659_wl_WAY150729IJ01_MULTI_800D_1.jpg,100659_wl_WAY150729IJ01_MULTI_800D_1.jpg,100659_wl_WAY150729IJ01_MULTI_800D_1.jpg,"Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.","Printed, high waisted, full length, leggings.",100659_wl_WAY150729IJ01_MULTI_800D_1.jpg;100659_wl_WAY150729IJ01_MULTI_800_0.jpg;100659_wl_WAY150729IJ01_MULTI_800D_0.jpg;100659_wl_WAY150729IJ01_MULTI_800D_1.jpg;100659_wl_WAY150729IJ01_MULTI_800D_3.jpg;,13,10,3,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1341,
WL#100660,,configurable,default,"OUTERWEAR Jackets",50.00,,1,1,1,"Not Available",1,"""Catalog, Search""",,,"Not Available","Not Specified",Imported,lashowroom,,None,100660_wl_WAY150730LC01_AQUA_800_0.jpg,100660_wl_WAY150730LC01_AQUA_800_0.jpg,100660_wl_WAY150730LC01_AQUA_800_0.jpg,"Striped, round neckline, long raglan sleeve, athletic top.","Striped, round neckline, long raglan sleeve, athletic top.","Striped, round neckline, long raglan sleeve, athletic top.",100660_wl_WAY150730LC01_AQUA_800_0.jpg;100660_wl_WAY150730LC01_AQUA_800_0.jpg;100660_wl_WAY150730LC01_AQUA_800D_0.jpg;100660_wl_WAY150730LC01_AQUA_800D_1.jpg;100660_wl_WAY150730LC01_AQUA_800D_2.jpg;100660_wl_WAY150730LC01_AQUA_800D_3.jpg;100660_wl_WAY150730LC01_CORAL_800_1.jpg;100660_wl_WAY150730LC01_BLUE_800_2.jpg;100660_wl_WAY150730LC01_GREY_800_3.jpg;100660_wl_WAY150730LC01_PINK_800_4.jpg;,,,,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1344,
WL#100661,,configurable,default,"OUTERWEAR Jackets",55.00,,1,1,1,"Not Available",1,"""Catalog, Search""",,,"Not Available","Not Specified",Imported,lashowroom,,None,100661_wl_WAY150730LC02_PINK_800_0.jpg,100661_wl_WAY150730LC02_PINK_800_0.jpg,100661_wl_WAY150730LC02_PINK_800_0.jpg,"Striped, mock collar, long sleeve, half zip up, athletic jacket.","Striped, mock collar, long sleeve, half zip up, athletic jacket.","Striped, mock collar, long sleeve, half zip up, athletic jacket.",100661_wl_WAY150730LC02_PINK_800_0.jpg;100661_wl_WAY150730LC02_PINK_800_0.jpg;100661_wl_WAY150730LC02_PINK_800D_0.jpg;100661_wl_WAY150730LC02_PINK_800D_1.jpg;100661_wl_WAY150730LC02_PINK_800D_2.jpg;100661_wl_WAY150730LC02_PINK_800D_3.jpg;100661_wl_WAY150730LC02_GREY_800_1.jpg;100661_wl_WAY150730LC02_AQUA_800_2.jpg;100661_wl_WAY150730LC02_BLUE_800_3.jpg;100661_wl_WAY150730LC02_CORAL_800_4.jpg;,,,,C,Default,leggingscolor,," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1345,
WL#100662#MULTI,,simple,default,"MULTI KIDS",4.15,2,0,1,1,"Not Available",1,"""Not Visible Individually""",,kids,"Not Available","Not Specified",Imported,lashowroom,#SKLS-893,None,100662_wl_WAP15072201_MULTI_800_0.jpg,100662_wl_WAP15072201_MULTI_800_0.jpg,100662_wl_WAP15072201_MULTI_800_0.jpg,"kids leggings","kids leggings","kids leggings",100662_wl_WAP15072201_MULTI_800_0.jpg;100662_wl_WAP15072201_MULTI_800_0.jpg;100662_wl_WAP15072201_MULTI_800D_0.jpg;100662_wl_WAP15072201_MULTI_800D_3.jpg;,13,10,2,C,Default,leggingscolor," S/M-L/XL<br>"," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1332,MULTI
WL#100662,,configurable,default,"KIDS Kids",41.50,2,0,1,1,"Not Available",1,"""Catalog, Search""",,kids,"Not Available","Not Specified",Imported,lashowroom,#SKLS-893,None,100662_wl_WAP15072201_MULTI_800_0.jpg,100662_wl_WAP15072201_MULTI_800_0.jpg,100662_wl_WAP15072201_MULTI_800_0.jpg,"kids leggings","kids leggings","kids leggings",100662_wl_WAP15072201_MULTI_800_0.jpg;100662_wl_WAP15072201_MULTI_800_0.jpg;100662_wl_WAP15072201_MULTI_800D_0.jpg;100662_wl_WAP15072201_MULTI_800D_3.jpg;,13,10,2,C,Default,leggingscolor," S/M-L/XL<br>"," 10                            ",https://www.lashowroom.com/wholesalefashionistas/item/1332,
