category,subCategory,category_str,price,weight,auctioninc_product_length,auctioninc_product_width,auctioninc_product_height,prod_url
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-bohemian-print-ankle-leggings-p-18861.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-neon-aztec-print-ankle-leggings-p-18860.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/bohemian-print-ankle-leggings-p-18859.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/emoji-print-ankle-leggings-p-18858.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/neon-aztec-print-ankle-leggings-p-18857.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/neon-aztec-print-ankle-leggings-p-18856.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/chevron-printed-ankle-leggings-p-18265.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/floral-printed-ankle-leggings-p-18277.html?cPath=1067
leggings,seamless,leggings/seamless,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-sportswear-seamless-ankle-legging-p-18714.html?cPath=1067
leggings,seamless,leggings/seamless,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-sportswear-seamless-ankle-legging-p-18715.html?cPath=1067
leggings,seamless,leggings/seamless,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-sportswear-seamless-ankle-leggin-p-18722.html?cPath=1067
leggings,seamless,leggings/seamless,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-sportswear-seamless-ankle-legging-p-18719.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-american-flag-print-ankle-leggings-p-18771.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-american-flag-print-ankle-leggings-p-18770.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/brushed-poly-chevron-print-ankle-leggings-p-15829.html?cPath=1067
leggings,pants,leggings/pants,1.75,0.3,14,10,2,http://numberonewholesales.com/scuba-skinny-pants-with-back-pockets-p-18814.html?cPath=1067
leggings,pants,leggings/pants,1.75,0.3,14,10,2,http://numberonewholesales.com/extured-checker-print-pants-with-zipper-pockets-waistband-p-18813.html?cPath=1067
kids,,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/premium-quality-ankle-leggings-p-18812.html?cPath=1067
leggings,seamless,leggings/seamless,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-wear-seamless-ombre-ankle-legging-p-18657.html?cPath=1067
leggings,seamless,leggings/seamless,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-active-wear-seamless-ombre-ankle-legging-p-18659.html?cPath=1067
leggings,missy,leggings/missy,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-denim-button-highwaist-pocket-ankle-jeggings-p-18776.html?cPath=1067
leggings,missy,leggings/missy,1.75,0.3,14,10,2,http://numberonewholesales.com/premium-denim-button-highwaist-pocket-ankle-jeggings-p-18775.html?cPath=1067
kids,printed,kids/leggings,1.75,0.2,13,10,2,http://numberonewholesales.com/plus-brushed-aztec-print-ankle-leggings-p-18774.html?cPath=1067
