sku,type,store,name,description,short_description,price,qty,weight,is_in_stock,manage_stock,use_config_manage_stock,status,visibility,brand,categories,pack,fabric,made,source,source_sku,tax_class_id,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,media_gallery,auctioninc_product_length,auctioninc_product_width,auctioninc_product_height,attribute_set,configurable_attributes,leggingspacksize,leggingspackqty,leggingscolor
WL#1#Black,simple,default,"Wholesale Womens Plus Size Faux Leather Leggings with Studs Black","Wholesale Womens Plus Size Faux Leather Leggings with Studs","Wholesale Womens Plus Size Faux Leather Leggings with Studs",7.25,1,0,1,1,1,1,"""Catalog, Search""",,plus-size/leggings/leather,6PCS/PREPACK,"90% POLYESTER
10% SPANDEX",CHINA,sngapparelinc,SSP8059,None,1_wl_ssp8059blk_2.jpg,1_wl_ssp8059blk_2.jpg,1_wl_ssp8059blk_2.jpg,"Wholesale Womens Plus Size Faux Leather Leggings with Studs","Wholesale Womens Plus Size Faux Leather Leggings with Studs","Wholesale Womens Plus Size Faux Leather Leggings with Studs",1_wl_ssp8059blk_2.jpg;1_wl_ss8059_1_2.jpg;,0,0,0,Default,leggingscolor,onesize,6,Black
WL#1,configurable,default,"Wholesale Womens Plus Size Faux Leather Leggings with Studs","Wholesale Womens Plus Size Faux Leather Leggings with Studs","Wholesale Womens Plus Size Faux Leather Leggings with Studs",43.5,1,0,1,1,1,1,"""Catalog, Search""",,plus-size/leggings/leather,6PCS/PREPACK,"90% POLYESTER
10% SPANDEX",CHINA,sngapparelinc,SSP8059,None,1_wl_ssp8059blk_2.jpg,1_wl_ssp8059blk_2.jpg,1_wl_ssp8059blk_2.jpg,"Wholesale Womens Plus Size Faux Leather Leggings with Studs","Wholesale Womens Plus Size Faux Leather Leggings with Studs","Wholesale Womens Plus Size Faux Leather Leggings with Studs",1_wl_ssp8059blk_2.jpg;1_wl_ss8059_1_2.jpg;,0,0,0,Default,leggingscolor,onesize,6,
WL#2#Burgundy,simple,default,"Wholesale Womens Plus Size Faux Leather Leggings with Zippers Burgundy","Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers",7.25,1,0,1,1,1,1,"""Catalog, Search""",,plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,"Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers",2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",Burgundy
WL#2#Black,simple,default,"Wholesale Womens Plus Size Faux Leather Leggings with Zippers Black","Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers",7.25,1,0,1,1,1,1,"""Catalog, Search""",,plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,"Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers",2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",Black
WL#2#Charcoal,simple,default,"Wholesale Womens Plus Size Faux Leather Leggings with Zippers Charcoal","Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers",7.25,1,0,1,1,1,1,"""Catalog, Search""",,plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,"Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers",2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",Charcoal
WL#2,configurable,default,"Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers",43.5,1,0,1,1,1,1,"""Catalog, Search""",,plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,"Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers","Wholesale Womens Plus Size Faux Leather Leggings with Zippers",2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",
WL#3#Charcoal,simple,default,"Wholesale Womens Plus Size Faux Leather Stretch Leggings Charcoal","Wholesale Womens Plus Size Faux Leather Stretch Leggings","Wholesale Womens Plus Size Faux Leather Stretch Leggings",6.75,1,0,1,1,1,1,"""Catalog, Search""",,plus-size/leggings/leather,6PCS/PREPACK,"90% POLYESTER
10% SPANDEX",CHINA,sngapparelinc,SSP8015,None,3_wl_ssp8015_shnyblk_d_1.jpg,3_wl_ssp8015_shnyblk_d_1.jpg,3_wl_ssp8015_shnyblk_d_1.jpg,"Wholesale Womens Plus Size Faux Leather Stretch Leggings","Wholesale Womens Plus Size Faux Leather Stretch Leggings","Wholesale Womens Plus Size Faux Leather Stretch Leggings",3_wl_ssp8015_shnyblk_d_1.jpg;3_wl_ssp8015_shnyblk_l_0.jpg;3_wl_ssp8015_shnygrey_l_2.jpg;3_wl_ssp8015_shnyblk_d_2.jpg;3_wl_ssp8015_shnyblk_d_0.jpg;3_wl_ssp8015_shnyred_l_1.jpg;,0,0,0,Default,leggingscolor,onesize,6,Charcoal
WL#3#Burgundy,simple,default,"Wholesale Womens Plus Size Faux Leather Stretch Leggings Burgundy","Wholesale Womens Plus Size Faux Leather Stretch Leggings","Wholesale Womens Plus Size Faux Leather Stretch Leggings",6.75,1,0,1,1,1,1,"""Catalog, Search""",,plus-size/leggings/leather,6PCS/PREPACK,"90% POLYESTER
10% SPANDEX",CHINA,sngapparelinc,SSP8015,None,3_wl_ssp8015_shnyblk_d_1.jpg,3_wl_ssp8015_shnyblk_d_1.jpg,3_wl_ssp8015_shnyblk_d_1.jpg,"Wholesale Womens Plus Size Faux Leather Stretch Leggings","Wholesale Womens Plus Size Faux Leather Stretch Leggings","Wholesale Womens Plus Size Faux Leather Stretch Leggings",3_wl_ssp8015_shnyblk_d_1.jpg;3_wl_ssp8015_shnyblk_l_0.jpg;3_wl_ssp8015_shnygrey_l_2.jpg;3_wl_ssp8015_shnyblk_d_2.jpg;3_wl_ssp8015_shnyblk_d_0.jpg;3_wl_ssp8015_shnyred_l_1.jpg;,0,0,0,Default,leggingscolor,onesize,6,Burgundy
WL#3,configurable,default,"Wholesale Womens Plus Size Faux Leather Stretch Leggings","Wholesale Womens Plus Size Faux Leather Stretch Leggings","Wholesale Womens Plus Size Faux Leather Stretch Leggings",40.5,1,0,1,1,1,1,"""Catalog, Search""",,plus-size/leggings/leather,6PCS/PREPACK,"90% POLYESTER
10% SPANDEX",CHINA,sngapparelinc,SSP8015,None,3_wl_ssp8015_shnyblk_d_1.jpg,3_wl_ssp8015_shnyblk_d_1.jpg,3_wl_ssp8015_shnyblk_d_1.jpg,"Wholesale Womens Plus Size Faux Leather Stretch Leggings","Wholesale Womens Plus Size Faux Leather Stretch Leggings","Wholesale Womens Plus Size Faux Leather Stretch Leggings",3_wl_ssp8015_shnyblk_d_1.jpg;3_wl_ssp8015_shnyblk_l_0.jpg;3_wl_ssp8015_shnygrey_l_2.jpg;3_wl_ssp8015_shnyblk_d_2.jpg;3_wl_ssp8015_shnyblk_d_0.jpg;3_wl_ssp8015_shnyred_l_1.jpg;,0,0,0,Default,leggingscolor,onesize,6,
WL#4#Black,simple,default,"Wholesale Womens Plus Size Faux Leather Leggings with Sided Studs Black","Wholesale Womens Plus Size Faux Leather Leggings with Sided Studs","Wholesale Womens Plus Size Faux Leather Leggings with Sided Studs",8.25,1,0,1,1,1,1,"""Catalog, Search""",,plus-size/leggings/leather,6PCS/PREPACK,"90% POLYESTER
10% SPANDEX",CHINA,sngapparelinc,SSP8057,None,4_wl_ssp8057blk_1.jpg,4_wl_ssp8057blk_1.jpg,4_wl_ssp8057blk_1.jpg,"Wholesale Womens Plus Size Faux Leather Leggings with Sided Studs","Wholesale Womens Plus Size Faux Leather Leggings with Sided Studs","Wholesale Womens Plus Size Faux Leather Leggings with Sided Studs",4_wl_ssp8057blk_1.jpg;4_wl_ss8057-stud_3.jpg;,0,0,0,Default,leggingscolor,onesize,6,Black
