sku,bin_location,type,store,name,description,short_description,price,qty,weight,is_in_stock,manage_stock,use_config_manage_stock,status,visibility,categories,pack,fabric,made,source,source_sku,tax_class_id,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,media_gallery,auctioninc_product_length,auctioninc_product_width,auctioninc_product_height,attribute_set,configurable_attributes,model_size,brand,size,bundle_skus,weight_type,price_type,price_view,leggingscolor
WL#1#Black#onesize,,simple,default,Wholesale Womens Plus Size Faux Leather Leggings with Studs Black onesize,Wholesale Womens Plus Size Faux Leather Leggings with Studs,Wholesale Womens Plus Size Faux Leather Leggings with Studs,5.5,1,0,1,1,1,1,"""Not Visible Individually""",plus-size/leggings/leather,6PCS/PREPACK,"90% POLYESTER
10% SPANDEX",CHINA,sngapparelinc,SSP8059,None,1_wl_ssp8059blk_2.jpg,1_wl_ssp8059blk_2.jpg,1_wl_ssp8059blk_2.jpg,Wholesale Womens Plus Size Faux Leather Leggings with Studs,Wholesale Womens Plus Size Faux Leather Leggings with Studs,Wholesale Womens Plus Size Faux Leather Leggings with Studs,1_wl_ssp8059blk_2.jpg;1_wl_ss8059_1_2.jpg;,0,0,0,Default,leggingscolor,,,onesize,,,,,Black
WL#1#onesize,,configurable,default,Wholesale Womens Plus Size Faux Leather Leggings with Studs,Wholesale Womens Plus Size Faux Leather Leggings with Studs,Wholesale Womens Plus Size Faux Leather Leggings with Studs,5.5,1,0,1,1,1,1,"""Not Visible Individually""",plus-size/leggings/leather,6PCS/PREPACK,"90% POLYESTER
10% SPANDEX",CHINA,sngapparelinc,SSP8059,None,1_wl_ssp8059blk_2.jpg,1_wl_ssp8059blk_2.jpg,1_wl_ssp8059blk_2.jpg,Wholesale Womens Plus Size Faux Leather Leggings with Studs,Wholesale Womens Plus Size Faux Leather Leggings with Studs,Wholesale Womens Plus Size Faux Leather Leggings with Studs,1_wl_ssp8059blk_2.jpg;1_wl_ss8059_1_2.jpg;,0,0,0,Default,leggingscolor,,,,,,,,
WL#1,,grouped,default,Wholesale Womens Plus Size Faux Leather Leggings with Studs,Wholesale Womens Plus Size Faux Leather Leggings with Studs,Wholesale Womens Plus Size Faux Leather Leggings with Studs,5.5,1,0,1,1,1,1,"""Catalog, Search""",plus-size/leggings/leather,6PCS/PREPACK,"90% POLYESTER
10% SPANDEX",CHINA,sngapparelinc,SSP8059,None,1_wl_ssp8059blk_2.jpg,1_wl_ssp8059blk_2.jpg,1_wl_ssp8059blk_2.jpg,Wholesale Womens Plus Size Faux Leather Leggings with Studs,Wholesale Womens Plus Size Faux Leather Leggings with Studs,Wholesale Womens Plus Size Faux Leather Leggings with Studs,1_wl_ssp8059blk_2.jpg;1_wl_ss8059_1_2.jpg;,0,0,0,Default,leggingscolor,,,,Wholesale Womens Plus Size Faux Leather Leggings with Studs:WL#1#onesize:1:0:1:0,0,0,1,
WL#2#Burgundy#xl/xxl,,simple,default,Wholesale Womens Plus Size Faux Leather Leggings with Zippers Burgundy xl/xxl,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,5.5,1,0,1,1,1,1,"""Not Visible Individually""",plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,,,xl/xxl,,,,,Burgundy
WL#2#Black#xl/xxl,,simple,default,Wholesale Womens Plus Size Faux Leather Leggings with Zippers Black xl/xxl,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,5.5,1,0,1,1,1,1,"""Not Visible Individually""",plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,,,xl/xxl,,,,,Black
WL#2#Charcoal#xl/xxl,,simple,default,Wholesale Womens Plus Size Faux Leather Leggings with Zippers Charcoal xl/xxl,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,5.5,1,0,1,1,1,1,"""Not Visible Individually""",plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,,,xl/xxl,,,,,Charcoal
WL#2#xl/xxl,,configurable,default,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,5.5,1,0,1,1,1,1,"""Not Visible Individually""",plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,,,,,,,,
WL#2#Burgundy#xxxl/xxxxl,,simple,default,Wholesale Womens Plus Size Faux Leather Leggings with Zippers Burgundy xxxl/xxxxl,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,5.5,1,0,1,1,1,1,"""Not Visible Individually""",plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,,,xxxl/xxxxl,,,,,Burgundy
WL#2#Black#xxxl/xxxxl,,simple,default,Wholesale Womens Plus Size Faux Leather Leggings with Zippers Black xxxl/xxxxl,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,5.5,1,0,1,1,1,1,"""Not Visible Individually""",plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,,,xxxl/xxxxl,,,,,Black
WL#2#Charcoal#xxxl/xxxxl,,simple,default,Wholesale Womens Plus Size Faux Leather Leggings with Zippers Charcoal xxxl/xxxxl,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,5.5,1,0,1,1,1,1,"""Not Visible Individually""",plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,,,xxxl/xxxxl,,,,,Charcoal
WL#2#xxxl/xxxxl,,configurable,default,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,5.5,1,0,1,1,1,1,"""Not Visible Individually""",plus-size/leggings/leather,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",CHINA,sngapparelinc,SSP8056,None,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,2_wl_ssp8056_black_d_1.jpg,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,Wholesale Womens Plus Size Faux Leather Leggings with Zippers,2_wl_ssp8056_black_d_1.jpg;2_wl_ssp8056_black_d_0.jpg;2_wl_ssp8056_black_l_0.jpg;2_wl_ssp8056_black_d_2.jpg;2_wl_ssp8056_red_l_1.jpg;2_wl_ssp8056_grey_l_2.jpg;,0,0,0,Default,leggingscolor,,,,,,,,
