sku,bin_location,type,store,name,description,short_description,price,qty,weight,is_in_stock,manage_stock,use_config_manage_stock,model_size_desc,status,visibility,brand,categories,pack,fabric,made,source,source_sku,tax_class_id,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,media_gallery,auctioninc_product_length,auctioninc_product_width,auctioninc_product_height,auctioninc_calc_method,attribute_set,configurable_attributes,leggingspacksize,leggingspackqty,prod_url,leggingscolor
WL#101850#Burgundy,,simple,default,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit Burgundy","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",10.75,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK14FT001,None,101850_wl_xtrk14ft001chl_gray_l_0.jpg,101850_wl_xtrk14ft001chl_gray_l_0.jpg,101850_wl_xtrk14ft001chl_gray_l_0.jpg,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",101850_wl_xtrk14ft001chl_gray_l_0.jpg;101850_wl_xtrk14ft001chl_gray_d_2.jpg;101850_wl_xtrk14ft001chl_gray_d_1.jpg;101850_wl_xtrk14ft001chl_gray_d_0.jpg;101850_wl_xtrk14ft001_navy_l_0.jpg;101850_wl_xtrk14ft001bur_color_l_0.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-french-terry-track-pants-peppered-knit.html,Burgundy
WL#101850#Gray,,simple,default,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit Gray","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",10.75,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK14FT001,None,101850_wl_xtrk14ft001chl_gray_l_0.jpg,101850_wl_xtrk14ft001chl_gray_l_0.jpg,101850_wl_xtrk14ft001chl_gray_l_0.jpg,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",101850_wl_xtrk14ft001chl_gray_l_0.jpg;101850_wl_xtrk14ft001chl_gray_d_2.jpg;101850_wl_xtrk14ft001chl_gray_d_1.jpg;101850_wl_xtrk14ft001chl_gray_d_0.jpg;101850_wl_xtrk14ft001_navy_l_0.jpg;101850_wl_xtrk14ft001bur_color_l_0.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-french-terry-track-pants-peppered-knit.html,Gray
WL#101850#Black,,simple,default,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit Black","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",10.75,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK14FT001,None,101850_wl_xtrk14ft001chl_gray_l_0.jpg,101850_wl_xtrk14ft001chl_gray_l_0.jpg,101850_wl_xtrk14ft001chl_gray_l_0.jpg,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",101850_wl_xtrk14ft001chl_gray_l_0.jpg;101850_wl_xtrk14ft001chl_gray_d_2.jpg;101850_wl_xtrk14ft001chl_gray_d_1.jpg;101850_wl_xtrk14ft001chl_gray_d_0.jpg;101850_wl_xtrk14ft001_navy_l_0.jpg;101850_wl_xtrk14ft001bur_color_l_0.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-french-terry-track-pants-peppered-knit.html,Black
WL#101850#Navy,,simple,default,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit Navy","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",10.75,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK14FT001,None,101850_wl_xtrk14ft001chl_gray_l_0.jpg,101850_wl_xtrk14ft001chl_gray_l_0.jpg,101850_wl_xtrk14ft001chl_gray_l_0.jpg,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",101850_wl_xtrk14ft001chl_gray_l_0.jpg;101850_wl_xtrk14ft001chl_gray_d_2.jpg;101850_wl_xtrk14ft001chl_gray_d_1.jpg;101850_wl_xtrk14ft001chl_gray_d_0.jpg;101850_wl_xtrk14ft001_navy_l_0.jpg;101850_wl_xtrk14ft001bur_color_l_0.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-french-terry-track-pants-peppered-knit.html,Navy
WL#101850,,configurable,default,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",64.5,100,3,1,1,1,,1,"""Catalog, Search""",,plus-size/leggings/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK14FT001,None,101850_wl_xtrk14ft001chl_gray_l_0.jpg,101850_wl_xtrk14ft001chl_gray_l_0.jpg,101850_wl_xtrk14ft001chl_gray_l_0.jpg,"Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit","Wholesale Womens Plus Size French Terry Track Pants Peppered Knit",101850_wl_xtrk14ft001chl_gray_l_0.jpg;101850_wl_xtrk14ft001chl_gray_d_2.jpg;101850_wl_xtrk14ft001chl_gray_d_1.jpg;101850_wl_xtrk14ft001chl_gray_d_0.jpg;101850_wl_xtrk14ft001_navy_l_0.jpg;101850_wl_xtrk14ft001bur_color_l_0.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-french-terry-track-pants-peppered-knit.html,
WL#101851#Black,,simple,default,"Wholesale Womens Plus Size Faux Leather Track Pants With Zippers Black","Wholesale Womens Plus Size Faux Leather Track Pants With Zippers","Wholesale Womens Plus Size Faux Leather Track Pants With Zippers",10.75,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK8167ZIP,None,101851_wl_place_holder.jpg,101851_wl_place_holder_2.jpg,101851_wl_place_holder_2.jpg,"Wholesale Womens Plus Size Faux Leather Track Pants With Zippers","Wholesale Womens Plus Size Faux Leather Track Pants With Zippers","Wholesale Womens Plus Size Faux Leather Track Pants With Zippers",101851_wl_place_holder.jpg;101851_wl_place_holder.jpg;101851_wl_place_holder.jpg;101851_wl_place_holder.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-faux-leather-track-pants-with-zippers.html,Black
WL#101851,,configurable,default,"Wholesale Womens Plus Size Faux Leather Track Pants With Zippers","Wholesale Womens Plus Size Faux Leather Track Pants With Zippers","Wholesale Womens Plus Size Faux Leather Track Pants With Zippers",64.5,100,3,1,1,1,,1,"""Catalog, Search""",,plus-size/leggings/pants,6PCS/PREPACK,"92%POLYESTER
8%SPANDEX",Imported,sngapparelinc,XTRK8167ZIP,None,101851_wl_place_holder.jpg,101851_wl_place_holder_2.jpg,101851_wl_place_holder_2.jpg,"Wholesale Womens Plus Size Faux Leather Track Pants With Zippers","Wholesale Womens Plus Size Faux Leather Track Pants With Zippers","Wholesale Womens Plus Size Faux Leather Track Pants With Zippers",101851_wl_place_holder.jpg;101851_wl_place_holder.jpg;101851_wl_place_holder.jpg;101851_wl_place_holder.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-faux-leather-track-pants-with-zippers.html,
WL#101852#Black,,simple,default,"Wholesale Womens Plus Size Pants Duo Fabric Black","Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric",10.25,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,AMP1414,None,101852_wl_amp1414_black_d_0.jpg,101852_wl_amp1414_black_d_0.jpg,101852_wl_amp1414_black_d_0.jpg,"Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric",101852_wl_amp1414_black_d_0.jpg;101852_wl_amp1414_color_l_0.jpg;101852_wl_amp1414_color_d_1.jpg;101852_wl_amp1414_black_d_2.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-pants-duo-fabric.html,Black
WL#101852,,configurable,default,"Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric",61.5,100,3,1,1,1,,1,"""Catalog, Search""",,plus-size/leggings/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,AMP1414,None,101852_wl_amp1414_black_d_0.jpg,101852_wl_amp1414_black_d_0.jpg,101852_wl_amp1414_black_d_0.jpg,"Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric","Wholesale Womens Plus Size Pants Duo Fabric",101852_wl_amp1414_black_d_0.jpg;101852_wl_amp1414_color_l_0.jpg;101852_wl_amp1414_color_d_1.jpg;101852_wl_amp1414_black_d_2.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-women-s-plus-size-pants-duo-fabric.html,
"WL#101853#Just as picture",,simple,default,"Wholesale Womens Plus Size Treggings Duo Fabric Just as picture","Wholesale Womens Plus Size Treggings Duo Fabric","Wholesale Womens Plus Size Treggings Duo Fabric",10.25,100,3,1,1,1,,1,"""Not Visible Individually""",,plus-size/leggings/pants,6PCS/PREPACK,"92% POLYESTER
8% SPANDEX",Imported,sngapparelinc,XTRG14PT002,None,101853_wl_xtrg14pt002_blkwht_d_0.jpg,101853_wl_xtrg14pt002_blkwht_d_0.jpg,101853_wl_xtrg14pt002_blkwht_d_0.jpg,"Wholesale Womens Plus Size Treggings Duo Fabric","Wholesale Womens Plus Size Treggings Duo Fabric","Wholesale Womens Plus Size Treggings Duo Fabric",101853_wl_xtrg14pt002_blkwht_d_0.jpg;101853_wl_xtrg14pt002_blkwht_d_1.jpg;101853_wl_xtrg14pt002_blkwht_d_2.jpg;101853_wl_xtrg14pt002_blkwht_l_0.jpg;,14,10,3,C,Default,leggingscolor,"xl/xxl,xxxl/xxxxl","3,3",http://sngapparelinc.com/plus-size-leggings-1392/pants/wholesale-womens-plus-size-treggings-duo-fabric.html,"Just as picture"
